pontoId	lat	lon	lat_pred	lon_pred	erro_loc
1414	-8.070067	-34.889568	-8.06941444532	-34.8897005142	74.0128645162
652	-8.073855	-34.898685	-8.07383611181	-34.8985991104	9.68625999374
544	-8.074489	-34.900318	-8.07439894813	-34.9002894563	10.4948252028
2793	-8.063056	-34.886925	-8.0631459095	-34.8872544122	37.6196016637
1825	-8.068961	-34.895958	-8.0689425008	-34.8959174707	4.91335288341
1162	-8.071129	-34.89183	-8.07106881472	-34.8918884251	9.28226275285
202	-8.076425	-34.899723	-8.07651525681	-34.8997192376	10.0446440172
639	-8.073972	-34.899136	-8.0739077321	-34.898848897	32.4057384928
284	-8.076097	-34.899826	-8.07588655338	-34.8998996473	24.7654496231
506	-8.074719	-34.890553	-8.0747737127	-34.8906447053	11.7874046634
1788	-8.069086	-34.888351	-8.06882032098	-34.8885428055	36.3132488655
286	-8.076077	-34.894833	-8.07606499531	-34.8948358083	1.37019651636
2873	-8.062162	-34.901833	-8.06227898754	-34.9016624369	22.8438994193
2317	-8.066323	-34.893246	-8.0662655969	-34.8934762784	26.1436149753
1213	-8.07081	-34.896809	-8.07075238249	-34.8967803104	7.1430475796
2199	-8.06706	-34.89386	-8.06706001648	-34.8938378026	2.44381323382
2556	-8.065001	-34.90139	-8.06524569819	-34.9013302012	27.9943488675
1238	-8.070745	-34.892376	-8.07067928963	-34.8924288518	9.34044519311
718	-8.073326	-34.896702	-8.0733855826	-34.897100753	44.3969920101
2378	-8.065841	-34.892071	-8.06576236933	-34.892166651	13.6872700114
278	-8.076126	-34.895023	-8.07602634264	-34.8948730173	19.885691944
1804	-8.069025	-34.888474	-8.06910615671	-34.8886193165	18.3681237029
190	-8.076437	-34.895649	-8.07635978777	-34.8958642182	25.2013775923
2043	-8.068368	-34.889767	-8.06706600812	-34.8911343182	208.854694786
2259	-8.066758	-34.89563	-8.06675932637	-34.8953236455	33.7283260239
1721	-8.069254	-34.888077	-8.06916944596	-34.8885366821	51.4741912771
