pontoId,lat,lon,lat_pred,lon_pred,erro_loc
397,-8.0754750000000008,-34.89629,-8.075971221937262,-34.89713102628548,107.78467165426473
792,-8.0729559999999996,-34.896622000000001,-8.07371850952687,-34.89648838278642,86.05382506835102
864,-8.072692,-34.896422999999999,-8.072809805527703,-34.89634273010118,15.801551657113325
717,-8.0733470000000001,-34.900573999999999,-8.072903177060336,-34.90112207183757,77.95051781898184
2826,-8.0626339999999992,-34.888382,-8.06900102966563,-34.887466368282695,715.122081348773
1902,-8.0687549999999995,-34.896583999999997,-8.06860011964751,-34.89648506834544,20.37708045956889
1897,-8.0687719999999992,-34.896197999999998,-8.069000379676762,-34.89588084247847,43.1751979351
2896,-8.0614190000000008,-34.903168000000001,-8.067892697350807,-34.90057715846996,774.2960848378597
2524,-8.0652849999999994,-34.897007000000002,-8.065234879910607,-34.89511415301802,208.46766187657943
2597,-8.0646389999999997,-34.885123999999998,-8.069949991886931,-34.88678973547658,618.3744169281864
1573,-8.0696300000000001,-34.890667000000001,-8.070076713912597,-34.89108571834239,67.76720083677584
2465,-8.0656990000000004,-34.892563000000003,-8.067089240461723,-34.894147213370985,233.06107279460232
1266,-8.0706760000000006,-34.890694000000003,-8.070743948350598,-34.88980474499982,98.1924016362066
1793,-8.0690650000000002,-34.889583999999999,-8.069042575462895,-34.88887630209025,77.9532220031976
2055,-8.0682910000000003,-34.889972999999998,-8.06859261735606,-34.89002501887256,34.023773484869174
2845,-8.0623889999999996,-34.887771999999998,-8.06530559961018,-34.8927440318624,636.256599178401
2215,-8.0669799999999992,-34.895916,-8.067668813492185,-34.89643237439127,95.38523407834684
2316,-8.0663389999999993,-34.901145999999997,-8.067870000002555,-34.90234453475398,215.38998132671622
703,-8.0734779999999997,-34.897292999999998,-8.073081360483956,-34.897532382337076,51.37838437365167
401,-8.0754680000000008,-34.900024000000002,-8.075043845071905,-34.89905956998034,116.18026959091979
1103,-8.0715830000000004,-34.891936999999999,-8.072422500293802,-34.892502934728824,112.23131716402624
204,-8.0764239999999994,-34.895760000000003,-8.07692686133518,-34.8970659360031,154.26358963440035
1600,-8.0695700000000006,-34.890754999999999,-8.070424524436213,-34.89080367445072,95.16977035349794
205,-8.0764230000000001,-34.895969000000001,-8.076545860930297,-34.897136313505996,129.2360187566498
767,-8.0731160000000006,-34.896343000000002,-8.072783380823765,-34.89551087474571,98.79542779102923
585,-8.0742530000000006,-34.893768000000001,-8.073304752702521,-34.89445222834579,129.58414713366247
2549,-8.0650390000000005,-34.885593,-8.066928443971541,-34.885347060452375,211.83418406307982
338,-8.0758039999999998,-34.893962999999999,-8.073808685611857,-34.89461353158112,233.14161006228775
850,-8.0727440000000001,-34.900646000000002,-8.071743795562648,-34.9010187148654,118.54579224283108
1140,-8.0712899999999994,-34.900772000000003,-8.070961570928738,-34.90097076377612,42.57384951995557
85,-8.0772069999999996,-34.898353999999998,-8.076721265439735,-34.89776831290122,84.11186217347674
967,-8.0724420000000006,-34.893211000000001,-8.072600483691904,-34.892899606883816,38.546428454408755
508,-8.0746920000000006,-34.890453000000001,-8.074590792691659,-34.89077100659787,36.774411585138175
1672,-8.0693800000000007,-34.895271000000001,-8.069762171910236,-34.89566711065935,60.89048763662752
317,-8.0759120000000006,-34.899895000000001,-8.075947192940689,-34.8983404767895,171.18558390174042
2475,-8.0656490000000005,-34.892643,-8.064278756439593,-34.89178751978752,179.12425690955487
2788,-8.0631249999999994,-34.888652999999998,-8.068554087655233,-34.88775672527379,611.6983028173972
13,-8.0775380000000006,-34.899231,-8.076531441521112,-34.89833663529989,149.06994438758468
1766,-8.0691419999999994,-34.895718000000002,-8.070839084616408,-34.89532737799419,193.5454529366689
521,-8.0746090000000006,-34.890228,-8.074125763524314,-34.890643037866134,70.53436596105772
1032,-8.0721179999999997,-34.892257999999998,-8.072478359262409,-34.89075748682638,169.98651826037874
327,-8.0758700000000001,-34.894150000000003,-8.075883066033356,-34.89261691313752,168.78715060274908
2546,-8.0650619999999993,-34.885666000000001,-8.066851171698607,-34.8854627587974,200.2011808252055
961,-8.0724549999999997,-34.894058000000001,-8.072954667390475,-34.893805910406975,62.10646725689438
2148,-8.0675050000000006,-34.890296999999997,-8.069116676708804,-34.8890560830977,225.3458494664382
562,-8.0743810000000007,-34.900348999999999,-8.073895978468595,-34.89896396020646,161.739406118467
1164,-8.0711220000000008,-34.896942000000003,-8.06963690776827,-34.895724823547994,212.6649973945352
41,-8.0774159999999995,-34.898848999999998,-8.077240773580598,-34.897730667305346,124.65147106232153
2028,-8.0684559999999994,-34.889595,-8.068820225386288,-34.889480179670464,42.4269646941503
