pontoId,lat,lon,lat_pred,lon_pred,erro_loc
397,-8.0754750000000008,-34.89629,-8.069026608441984,-34.893232991433266,792.0855844223803
792,-8.0729559999999996,-34.896622000000001,0,0,inf
864,-8.072692,-34.896422999999999,0,0,inf
717,-8.0733470000000001,-34.900573999999999,-8.0741266863058,-34.89922864813256,171.6217177063653
2826,-8.0626339999999992,-34.888382,-8.072071138318618,-34.89296780219705,1164.4980964920503
1902,-8.0687549999999995,-34.896583999999997,0,0,inf
1897,-8.0687719999999992,-34.896197999999998,0,0,inf
2896,-8.0614190000000008,-34.903168000000001,-8.06813085060019,-34.89809097153361,932.4331380106343
2524,-8.0652849999999994,-34.897007000000002,0,0,inf
2597,-8.0646389999999997,-34.885123999999998,-8.072746340173472,-34.88809166952897,958.8750527578142
1573,-8.0696300000000001,-34.890667000000001,0,0,inf
2465,-8.0656990000000004,-34.892563000000003,0,0,inf
1266,-8.0706760000000006,-34.890694000000003,0,0,inf
1793,-8.0690650000000002,-34.889583999999999,-8.07152239284282,-34.89088947375047,308.7427288484715
2055,-8.0682910000000003,-34.889972999999998,-8.06682970723168,-34.889590361428226,167.86034031645926
2845,-8.0623889999999996,-34.887771999999998,-8.060895288970022,-34.89631211816665,954.7910169377772
2215,-8.0669799999999992,-34.895916,0,0,inf
2316,-8.0663389999999993,-34.901145999999997,-8.065958139567282,-34.89380404246215,809.4203319098225
703,-8.0734779999999997,-34.897292999999998,0,0,inf
401,-8.0754680000000008,-34.900024000000002,-8.07376280839891,-34.89729586070907,355.19041527623824
1103,-8.0715830000000004,-34.891936999999999,0,0,inf
204,-8.0764239999999994,-34.895760000000003,0,0,inf
1600,-8.0695700000000006,-34.890754999999999,0,0,inf
205,-8.0764230000000001,-34.895969000000001,0,0,inf
767,-8.0731160000000006,-34.896343000000002,0,0,inf
585,-8.0742530000000006,-34.893768000000001,0,0,inf
2549,-8.0650390000000005,-34.885593,-8.07155109848334,-34.89944130265804,1687.839048053111
338,-8.0758039999999998,-34.893962999999999,-8.070319859387226,-34.89210632151492,643.1553948528518
850,-8.0727440000000001,-34.900646000000002,0,0,inf
1140,-8.0712899999999994,-34.900772000000003,0,0,inf
85,-8.0772069999999996,-34.898353999999998,-8.068952659986346,-34.892297107673905,1134.4964102851945
967,-8.0724420000000006,-34.893211000000001,0,0,inf
508,-8.0746920000000006,-34.890453000000001,0,0,inf
1672,-8.0693800000000007,-34.895271000000001,0,0,inf
317,-8.0759120000000006,-34.899895000000001,-8.073847953880684,-34.89842847468801,280.6113068801669
2475,-8.0656490000000005,-34.892643,0,0,inf
2788,-8.0631249999999994,-34.888652999999998,-8.069977364085975,-34.89272840835602,884.2395521201504
13,-8.0775380000000006,-34.899231,0,0,inf
1766,-8.0691419999999994,-34.895718000000002,0,0,inf
521,-8.0746090000000006,-34.890228,0,0,inf
1032,-8.0721179999999997,-34.892257999999998,0,0,inf
327,-8.0758700000000001,-34.894150000000003,0,0,inf
2546,-8.0650619999999993,-34.885666000000001,0,0,inf
961,-8.0724549999999997,-34.894058000000001,0,0,inf
2148,-8.0675050000000006,-34.890296999999997,-8.071747515802,-34.89203960216963,509.265038798449
562,-8.0743810000000007,-34.900348999999999,0,0,inf
1164,-8.0711220000000008,-34.896942000000003,0,0,inf
41,-8.0774159999999995,-34.898848999999998,0,0,inf
2028,-8.0684559999999994,-34.889595,0,0,inf
2235,-8.0668919999999993,-34.901015999999998,0,0,inf
1561,-8.0696589999999997,-34.894741000000003,0,0,inf
2436,-8.0657940000000004,-34.890148000000003,-8.072591100377155,-34.90017989756808,1338.3020134855312
2952,-8.0593439999999994,-34.906821999999998,-8.070228314843666,-34.89358623440817,1894.2531101933691
1544,-8.069706,-34.894641999999997,0,0,inf
2177,-8.0671680000000006,-34.894035000000002,-8.070063270482825,-34.891831309229104,403.12068587140857
2571,-8.0648970000000002,-34.885162000000001,-8.069504481135034,-34.890980630367125,820.2733047597712
10,-8.0775400000000008,-34.899231,0,0,inf
2488,-8.0655640000000002,-34.896988,0,0,inf
1700,-8.0693020000000004,-34.895457999999998,0,0,inf
1779,-8.0691140000000008,-34.888294000000002,-8.067532099358898,-34.89017988246618,272.11879650231003
1822,-8.0689709999999994,-34.895992,0,0,inf
1894,-8.0687809999999995,-34.897381000000003,0,0,inf
678,-8.0737220000000001,-34.89817,-8.069647152120298,-34.89413186291751,634.7803144150316
2544,-8.0650849999999998,-34.885742,0,0,inf
618,-8.0741130000000005,-34.899718999999997,0,0,inf
902,-8.0725770000000008,-34.891517999999998,0,0,inf
1483,-8.0698840000000001,-34.900813999999997,-8.068230113196572,-34.896518643364445,507.3939448933222
1818,-8.0689770000000003,-34.897396000000001,0,0,inf
900,-8.0725820000000006,-34.891402999999997,0,0,inf
392,-8.0754970000000004,-34.893036000000002,-8.069205543655762,-34.891776252032784,713.1929813328279
1011,-8.0722609999999992,-34.892288000000001,0,0,inf
1994,-8.0685610000000008,-34.896571999999999,0,0,inf
804,-8.0729290000000002,-34.896628999999997,0,0,inf
106,-8.0770579999999992,-34.899470999999998,-8.072356571341489,-34.89510639728089,710.0589107857767
342,-8.0757879999999993,-34.893932,0,0,inf
27,-8.0774810000000006,-34.899341999999997,-8.070386155553598,-34.89549806474095,895.2481738082861
780,-8.073048,-34.890639999999998,0,0,inf
777,-8.0730609999999992,-34.896591000000001,0,0,inf
983,-8.0724020000000003,-34.893658000000002,0,0,inf
2856,-8.0623660000000008,-34.887782999999999,-8.06630219190346,-34.88572140922663,493.035354670956
2868,-8.0622340000000001,-34.887959000000002,-8.065396189804126,-34.8889819421786,369.21512246460395
599,-8.0742200000000004,-34.900371999999997,-8.077504065763158,-34.897139334190726,509.9105774798788
943,-8.0724929999999997,-34.896769999999997,0,0,inf
2443,-8.0657910000000008,-34.890529999999998,0,0,inf
2567,-8.0649390000000007,-34.885261999999997,-8.070345354959384,-34.88925940361853,745.0324305053581
2810,-8.0628309999999992,-34.897292999999998,-8.062867159068217,-34.89268886326397,506.91180418970185
2010,-8.0685059999999993,-34.889533999999998,-8.067147312842117,-34.88945515146439,151.32830573844285
1506,-8.0698220000000003,-34.894421000000001,0,0,inf
518,-8.0746289999999998,-34.890262999999997,0,0,inf
545,-8.0744849999999992,-34.890166999999998,0,0,inf
2354,-8.0660190000000007,-34.896518999999998,0,0,inf
1725,-8.0692450000000004,-34.888061999999998,-8.067794487408037,-34.88887348981823,184.38015490341132
1681,-8.0693560000000009,-34.896476999999997,0,0,inf
2822,-8.0627200000000006,-34.901363000000003,0,0,inf
2062,-8.0682410000000004,-34.890022000000002,-8.067849859780296,-34.89183483138702,204.26644519750596
988,-8.0723839999999996,-34.892155000000002,0,0,inf
2077,-8.06813,-34.890324,-8.06668369173405,-34.890006344374704,164.58071470618808
2761,-8.0634160000000001,-34.886485999999998,-8.07723482993661,-34.886232573826184,1536.8370640295736
862,-8.0726940000000003,-34.895015999999998,0,0,inf
1436,-8.0700020000000006,-34.894081,0,0,inf
1005,-8.0722880000000004,-34.900691999999999,-8.069654338600614,-34.89349574775418,844.6527170970481
732,-8.0732300000000006,-34.896503000000003,0,0,inf
1095,-8.0716610000000006,-34.897162999999999,0,0,inf
765,-8.0731249999999992,-34.89629,0,0,inf
1478,-8.0699020000000008,-34.890250999999999,-8.068305808902085,-34.892086193357834,268.9309078423272
981,-8.0724040000000006,-34.892338000000002,0,0,inf
2455,-8.0657750000000004,-34.887829000000004,-8.065311749866117,-34.8878773198534,51.78503437629262
2913,-8.0609029999999997,-34.905017999999998,-8.061504071349246,-34.896748424889736,912.8986498732235
952,-8.0724800000000005,-34.894154,0,0,inf
1998,-8.0685590000000005,-34.896652000000003,0,0,inf
